Key,Summary,Status,Affected Versions
HIVE-23265,Duplicate rowsets are returned with Limit and Offset set,Closed,"3.1.0, 3.1.2"
HIVE-23230,"""get_splits"" UDF ignores limit clause while creating splits.",Closed,3.1.0
HIVE-23178,Add Tez Total Order Partitioner,Closed,"3.1.0, 3.1.1, 3.1.2"
HIVE-23129,Cast invalid string to date returns incorrect result,Resolved,3.1.2
HIVE-23128,SHOW CREATE TABLE Creates Incorrect Syntax When Database Specified,Closed,"2.4.0, 3.1.2"
HIVE-23088,Using Strings from log4j breaks non-log4j users,Closed,3.1.2
HIVE-23086,Two tests fail on branch-2.3,Closed,2.3.6
HIVE-23058,Compaction task reattempt fails with FileAlreadyExistsException,Closed,3.1.0
HIVE-23033,MSSQL metastore schema init script doesn't initialize NOTIFICATION_SEQUENCE,Closed,"3.1.0, 3.0.0, 3.1.1, 3.1.2"
HIVE-22988,LLAP: If consistent splits is disabled ordering instances is not required,Closed,4.0.0
HIVE-22982,TopN Key efficiency check might disable filter too soon,Closed,4.0.0
HIVE-22967,Support hive.reloadable.aux.jars.path for Hive on Tez,Closed,"2.3.6, 3.1.2"
HIVE-22963,HiveParser misinterpretes quotes in parameters of built-in functions or UDFs,Resolved,"2.3.6, 3.1.1"
HIVE-22961,Drop function in Hive should not send request for drop database to Ranger plugin. ,Closed,4.0.0
HIVE-22955,PreUpgradeTool can fail because access to CharsetDecoder is not synchronized,Resolved,4.0.0
HIVE-22951,Fix invalid repo url in pom,Closed,4.0.0
HIVE-22950,Fix invalid repo url in pom,Resolved,4.0.0
HIVE-22948,QueryCache: Treat query cache locations as temporary storage,Closed,"3.1.2, 4.0.0"
HIVE-22945,Hive ACID Data Corruption: Update command mess the other column data and produces incorrect result,Resolved,3.2.0
HIVE-22905,"Transaction is not aborted when query cancelled, only when session is closed",Closed,3.1.2
HIVE-22903,Vectorized row_number() resets the row number after one batch in case of constant expression in partition clause,Closed,4.0.0
HIVE-22901,Variable substitution can lead to OOM on circular references,Closed,3.1.2
HIVE-22898,CharsetDecoder race condition in OrcRecordUpdater ,Closed,4.0.0
HIVE-22880,ACID: All delete event readers should ignore ORC SARGs,Closed,4.0.0
HIVE-22877,Fix decimal boundary check for casting to Decimal64,Closed,4.0.0
HIVE-22853,Allow JDBC FetchSize to Be Set in Beeline,Closed,4.0.0
